negyedev,szcenario,y,c,ii,i_S,i_L,efp_S,efp_L,xx,infl,r,rer,dep
6,optimista,-0.00375562253080449,0.0115731192213201,0.0377986536852362,0.0395521808194867,0.0360451265509857,0.000332879771551755,9.21347195876547e-05,-0.0231950175381898,-0.00152675127150778,-0.0017811631142647,-0.0626783332760175,-0.000865156767440008
7,optimista,-0.00222611416252752,0.0127954606382185,0.0429894385780326,0.0451064688823172,0.040872408273748,0.000319476045378689,8.16107791678647e-05,-0.0222968401331504,-0.00145183050692015,-0.00183396088025669,-0.0620388864089199,-0.000812383639822599
8,optimista,-0.000916188199804628,0.0137236666574769,0.0476463831448508,0.0501243797960865,0.0451683864936152,0.000304179348856617,6.96570704502959e-05,-0.0215895379034076,-0.00139876148097638,-0.00185664943753702,-0.061351813885702,-0.000711688957758495
9,optimista,0.000207101764161038,0.0144094814299004,0.0517343578863055,0.0545608736268041,0.048907842145807,0.000290309962487628,5.74139355070428e-05,-0.0210444048105194,-0.00136812116900315,-0.0018638169649669,-0.0605653528856428,-0.000581660168943893
10,optimista,0.00117730005117352,0.014897675221636,0.055226863859406,0.0583791643110583,0.0520745634077537,0.000280047758932962,4.56664595549517e-05,-0.0206056293930925,-0.0013582893202567,-0.00186603106279933,-0.0596437197654993,-0.000436656200113246
11,optimista,0.00202223431845431,0.015224326170064,0.0581016405783169,0.0615462427534411,0.0546570384031926,0.000274646383150922,3.49053531479663e-05,-0.0202157028172854,-0.00136672603519031,-0.00187049657219435,-0.0585640807289167,-0.000287086998607706
12,optimista,0.00276197366196457,0.0154167776518232,0.0603372201111554,0.0640292854431145,0.0566451547791963,0.000274650633540335,2.53920817214364e-05,-0.0198256198543644,-0.00139056063676225,-0.00188175025666464,-0.0573135683965939,-0.000140048304439491
13,optimista,0.00340882312269702,0.0154944403850942,0.0619102547792766,0.0657927984608882,0.058027711097665,-6.05411017216628e-05,-0.000145283191089001,-0.0193975420847064,-0.00142685282842524,-0.00220405980776441,-0.0558867155681687,0
14,optimista,0.00391683989859994,0.0154098074250415,0.0627934507852156,0.0667963466949521,0.0587905548754792,-0.000399497823707907,-0.000318534734357758,-0.0189384555689784,-0.0014726962421823,-0.00246500623319243,-0.0544140193259864,0
15,optimista,0.00428260794840462,0.0151535174651546,0.0629984367280416,0.067044418900469,0.0589524545556142,-0.00074103091349292,-0.000493533590184407,-0.0184450495386365,-0.00152495588195865,-0.00272604408574026,-0.0528890634440277,0
16,optimista,0.00451190653406353,0.0147267558689543,0.0625712500532676,0.0665822784684322,0.058560221638103,-0.00108785908081615,-0.00067075831779627,-0.0179121106434381,-0.00158050080545273,-0.00298775191662467,-0.051308562638575,0
17,optimista,0.00461778232663012,0.0141380283633092,0.0615929043022918,0.0654968967730817,0.057688911831502,-0.00102407190111373,-0.000657008097444319,-0.0173361746329459,-0.00163638321221102,-0.00293809405111909,-0.049672179426364,0
18,optimista,0.00464186864057498,0.0134536467831581,0.0601806222448529,0.0639186593313532,0.0564425851583526,-0.000963924313562767,-0.000642936534698712,-0.0167167664582295,-0.00168998429913756,-0.00288985437848221,-0.0479821951272264,0
19,optimista,0.00461489147238876,0.0127204164167983,0.0584398030951664,0.061964814911899,0.0549147912784337,-0.00090698152062404,-0.000628529970720434,-0.0160563743256655,-0.00173917833771639,-0.00284318821746908,-0.04624301678951,0
20,optimista,0.00455949353357125,0.0119710944372322,0.0564637620116287,0.0597393018082067,0.0531882222150507,-0.000852991188362101,-0.000613829916933104,-0.015359853413942,-0.00178237119554907,-0.0027981614706954,-0.044460645593961,0
21,optimista,0.00449225239017797,0.0112282875806503,0.0543338257513894,0.0573329182683615,0.0513347332344174,-0.000801828775698833,-0.000598915816834031,-0.0146336558381482,-0.00181847320075442,-0.00275477908441643,-0.0426421723932065,0
22,optimista,0.00442515197086199,0.010507200460782,0.0521197086259365,0.0548237657213624,0.0494156515305106,-0.000753453636395956,-0.000583890886641017,-0.0138850920208867,-0.00184684211788767,-0.00271300545063895,-0.0407953302753189,0
23,optimista,0.00436667118374616,0.00981759419376752,0.049880101243342,0.0522779005022387,0.0474823019844452,-0.000707874762141616,-0.00056887080285811,-0.0131217137531103,-0.00186721509437262,-0.00267277893822769,-0.0389281151809463,0
24,optimista,0.0043226004508212,0.00916520689871871,0.0476634132514008,0.0497501374729823,0.0455766890298192,-0.000665124787264266,-0.000553974897374246,-0.0123508451525224,-0.00187963925664276,-0.00263402219892534,-0.0370484759243035,0
25,optimista,0.00429666283331114,0.0085528037034706,0.0455086197864258,0.0472849566131113,0.0437322829597403,-0.000625240896857796,-0.00053931950381332,-0.011579255200641,-0.00188440587915548,-0.00259664944584326,-0.035164070045148,0
26,optimista,0.00429099318604739,0.00798096701992845,0.0434461693061897,0.0449174710034907,0.0419748676088888,-0.000588251397325902,-0.000525013116537101,-0.0108129514230579,-0.00188199055122949,-0.00256057156273655,-0.0332820794939185,0
