OPTEN,accscale,lamscale,omscale,rho_acc,lambda_acc_E,omega_acc_E,konvergalt,GDP_pct,y_E_pct,y_D_pct,y_L_pct,y_KKV_pct,KKV_minus_L_pp,D_minus_L_pp,E_minus_L_pp
1,100,30,0,0.9673,0.6,0,1,0.416895028578372,-0.27605178901848,0.233364048171301,0.349825817408486,-0.0625117108693655,-0.412337528277852,-0.116461769237186,-0.625877606426967
1,100,30,5,0.9673,0.6,0.0175,1,0.43488670929209,-0.216946321212683,0.352208094474264,0.304722714611549,0.0216353433762532,-0.283087371235296,0.0474853798627152,-0.521669035824232
1,100,30,10,0.9673,0.6,0.035,1,0.452673051695581,-0.158804119007713,0.464853784882348,0.261345898608598,0.102624654525652,-0.158721244082946,0.20350788627375,-0.420150017616311
1,100,30,15,0.9673,0.6,0.0525,1,0.470262230044443,-0.101574196971836,0.571759848665836,0.219573607939636,0.180678128592126,-0.0388954793475099,0.352186240726201,-0.321147804911472
1,100,30,20,0.9673,0.6,0.07,1,0.487661726708297,-0.0452101938113079,0.673341011076644,0.179295682442092,0.255996539949407,0.0767008575073145,0.494045328634552,-0.2245058762534
1,100,30,30,0.9673,0.6,0.105,1,0.521918610913979,0.0650855276474247,0.861997706449849,0.102832340030213,0.399140098620753,0.29630775859054,0.759165366419637,-0.0377468123827878
1,100,30,40,0.9673,0.6,0.14,1,0.555492486486918,0.172380102409794,1.03344049352138,0.0312594946621031,0.533324717369958,0.502065222707855,1.00218099885927,0.141120607747691
1,100,30,60,0.9673,0.6,0.21,1,0.620752817952976,0.378931512485032,1.33304422578891,-0.0994444807138758,0.778882374802,0.878326855515876,1.43248870650278,0.478375993198908
1,100,30,80,0.9673,0.6,0.28,1,0.68371587800931,0.576044973642153,1.58575680208321,-0.216453587695998,0.999302216571299,1.2157558042673,1.80221038977921,0.792498561338151
1,100,30,100,0.9673,0.6,0.35,1,0.744593482923752,0.764918974228389,1.80140756963178,-0.322408165071098,1.1994006677778,1.5218088328489,2.12381573470287,1.08732713929949
1,100,30,140,0.9673,0.6,0.49,1,0.860740147995264,1.12145147857246,2.14885903288934,-0.508546685188439,1.55212652521041,2.06067321039884,2.65740571807778,1.6299981637609
1,100,40,0,0.9673,0.8,0,1,0.416895028578372,-0.27605178901848,0.233364048171301,0.349825817408486,-0.0625117108693655,-0.412337528277852,-0.116461769237186,-0.625877606426967
1,100,40,5,0.9673,0.8,0.0175,1,0.44083788660416,-0.197461177022395,0.390421743602204,0.290078234204723,0.0489712179836883,-0.241107016221034,0.100343509397481,-0.487539411227117
1,100,40,10,0.9673,0.8,0.035,1,0.464420602523218,-0.120552423911548,0.536735784387729,0.233326447210751,0.154973708414859,-0.0783527387958917,0.303409337176978,-0.353878871122299
1,100,40,15,0.9673,0.8,0.0525,1,0.487661726708297,-0.0452101938113079,0.673341011076644,0.179295682442092,0.255996539949407,0.0767008575073145,0.494045328634552,-0.2245058762534
1,100,40,20,0.9673,0.8,0.07,1,0.510577789654741,0.028667361606395,0.801144002160184,0.12774498386798,0.352478892677363,0.224733908809382,0.673399018292204,-0.0990776222615851
1,100,40,30,0.9673,0.8,0.105,1,0.555492486486918,0.172380102409794,1.03344049352138,0.0312594946621032,0.533324717369958,0.502065222707855,1.00218099885927,0.141120607747691
1,100,40,40,0.9673,0.8,0.14,1,0.599266621039564,0.311198915390656,1.23896560995129,-0.0575533002385677,0.700105890787294,0.757659191025861,1.29651891018986,0.368752215629224
1,100,40,60,0.9673,0.8,0.21,1,0.68371587800931,0.576044973642153,1.58575680208321,-0.216453587695998,0.999302216571299,1.2157558042673,1.80221038977921,0.792498561338151
1,100,40,80,0.9673,0.8,0.28,1,0.764452839620819,0.826211854278797,1.86636996471261,-0.355624607598749,1.26223175781141,1.61785636541015,2.22199457231136,1.18183646187755
1,100,40,100,0.9673,0.8,0.35,1,0.841868260436843,1.06381952028884,2.09741209636932,-0.479555383954636,1.4970872425649,1.97664262651954,2.57696748032396,1.54337490424347
1,100,40,140,0.9673,0.8,0.49,1,0.987889985787738,1.50724897329843,2.45356556697479,-0.693387796278212,1.90393181002023,2.59731960629844,3.146953363253,2.20063676957664
1,100,60,0,0.9673,1.2,0,1,0.416895028578372,-0.27605178901848,0.233364048171301,0.349825817408486,-0.0625117108693655,-0.412337528277852,-0.116461769237186,-0.625877606426967
1,100,60,5,0.9673,1.2,0.0175,1,0.452673051695581,-0.158804119007713,0.464853784882348,0.261345898608598,0.102624654525652,-0.158721244082946,0.203507886273749,-0.420150017616311
1,100,60,10,0.9673,1.2,0.035,1,0.487661726708297,-0.0452101938113079,0.673341011076644,0.179295682442092,0.255996539949407,0.0767008575073145,0.494045328634552,-0.2245058762534
1,100,60,15,0.9673,1.2,0.0525,1,0.521918610913979,0.0650855276474247,0.861997706449849,0.102832340030213,0.399140098620753,0.29630775859054,0.759165366419637,-0.0377468123827878
1,100,60,20,0.9673,1.2,0.07,1,0.555492486486918,0.172380102409794,1.03344049352138,0.031259494662103,0.533324717369958,0.502065222707855,1.00218099885927,0.141120607747691
1,100,60,30,0.9673,1.2,0.105,1,0.620752817952976,0.378931512485032,1.33304422578891,-0.0994444807138758,0.778882374802,0.878326855515876,1.43248870650278,0.478375993198908
1,100,60,40,0.9673,1.2,0.14,1,0.68371587800931,0.576044973642153,1.58575680208321,-0.216453587695998,0.999302216571298,1.2157558042673,1.80221038977921,0.792498561338151
1,100,60,60,0.9673,1.2,0.21,1,0.803555132596663,0.946477508174867,1.9872741261268,-0.419273929441607,1.38276506523405,1.80203899467566,2.40654805556841,1.36575143761647
1,100,60,80,0.9673,1.2,0.28,1,0.916265682443263,1.29043222996196,2.29039916237334,-0.591386612050949,1.70960454716282,2.30099115921377,2.88178577442428,1.88181884201291
1,100,60,100,0.9673,1.2,0.35,1,1.02272712830013,1.61228798925965,2.52591920035743,-0.741246272074317,1.99526956535974,2.73651583743406,3.26716547243175,2.35353426133397
1,100,60,140,0.9673,1.2,0.49,1,1.21942363849103,2.20119112722389,2.8645812957149,-0.993983887905577,2.47927511692551,3.47325900483109,3.85856518362047,3.19517501512947
1,100,80,0,0.9673,1.6,0,1,0.416895028578372,-0.27605178901848,0.233364048171301,0.349825817408486,-0.0625117108693655,-0.412337528277852,-0.116461769237186,-0.625877606426967
1,100,80,5,0.9673,1.6,0.0175,1,0.464420602523218,-0.120552423911548,0.536735784387729,0.233326447210751,0.154973708414859,-0.0783527387958917,0.303409337176978,-0.353878871122299
1,100,80,10,0.9673,1.6,0.035,1,0.510577789654741,0.0286673616063949,0.801144002160184,0.12774498386798,0.352478892677363,0.224733908809383,0.673399018292204,-0.0990776222615851
1,100,80,15,0.9673,1.6,0.0525,1,0.555492486486918,0.172380102409794,1.03344049352138,0.031259494662103,0.533324717369958,0.502065222707855,1.00218099885927,0.141120607747691
1,100,80,20,0.9673,1.6,0.07,1,0.599266621039564,0.311198915390657,1.23896560995129,-0.0575533002385678,0.700105890787294,0.757659191025862,1.29651891018986,0.368752215629224
