negyedev,szcenario,y,y_d,y_x,i_S,i_L,efp_S,efp_L,nw_S,nw_L,h_dx,xx,c,infl,r,rer,rk_S,rk_L,z_S,z_L,l_S,l_L
66,optimista,0.00575823037849544,0.00213858058639145,0.00354011252195327,0.0145482340481546,0.0159065074632936,-0.000624360589722656,-0.000485183469823862,-0.0188238635303752,-0.017194710026682,0.00354325289964431,0.00354011252195327,-0.00102926032886246,-1.44144022561897e-05,-5.2630228985841e-06,0.00988474555743477,-0.0152799117093757,-0.0123656921658418,-0.000343337892076508,0.00148372466840624,0.00052106919415352,0.00386084415553881
67,optimista,0.0057608753114256,0.00214288579063948,0.00354039204930485,0.0145867353421007,0.0158667516704553,-0.000623668249948093,-0.000485241733596874,-0.0188316984502349,-0.0171876844735633,0.00354325431723419,0.00354039204930485,-0.00102247214253615,-1.26324024497186e-05,-3.55723001813094e-06,0.00989737795988449,-0.015271417744986,-0.0123427883832809,-0.000339646343325009,0.00148513104504362,0.00052471402606644,0.00386212206087011
68,optimista,0.00576350997239979,0.00214738263973583,0.00354024734345493,0.0146200785379608,0.0158349756221485,-0.000623004562506013,-0.00048531161505819,-0.0188380892676443,-0.0171811125966817,0.00354285102474531,0.00354024734345493,-0.00101575550285531,-1.10069541386235e-05,-2.06199469305388e-06,0.00990838491402311,-0.0152645182277287,-0.0123204075674624,-0.000335883656237778,0.00148617889047114,0.000528315361505455,0.00386272618926503
69,optimista,0.00576612549503965,0.00215202277235546,0.00353973262082979,0.014648721911878,0.0158103931134963,-0.000622372049730442,-0.000485390637151717,-0.0188431517392712,-0.0171749921303124,0.00354209577075708,0.00353973262082979,-0.00100914245684186,-9.52729392881949e-06,-7.57136475013336e-07,0.00991791220795193,-0.0152590309674347,-0.0122987094849541,-0.000332077691546659,0.00148689540226019,0.000531859631937222,0.00386272304184087
70,optimista,0.0057687115972753,0.00215675956019937,0.00353889900999411,0.0146730891639299,0.01579224852418,-0.00062177249043318,-0.000485476564021603,-0.0188469996678979,-0.0171693165685909,0.00354103844281553,0.00353889900999411,-0.00100266171160221,-8.18344492049405e-06,3.75937362474792e-07,0.00992609565287242,-0.0152547985566234,-0.0122778287446248,-0.000328257328743154,0.00148730828323604,0.000535331571577529,0.00386217775911792
71,optimista,0.00577125730649464,0.0021615489184549,0.00353779439078548,0.0146935721105433,0.0157798212427302,-0.000621207010172083,-0.000485567389923102,-0.0188497438699614,-0.0171640758014293,0.00353972585756576,0.00353779439078548,-0.000996338349416601,-6.96609043918494e-06,1.35431138101305e-06,0.00993306174331161,-0.0152516839225269,-0.0122578760063019,-0.000324451234905528,0.00148744532755816,0.000538715361779778,0.00386115346844275
72,optimista,0.00577375154085791,0.00216634990344167,0.00353646328198755,0.0147105332659102,0.0157724290169733,-0.000620676168951691,-0.000485661328454366,-0.0188514913319249,-0.0171592566991477,0.00353820160787641,0.00353646328198755,-0.000990193710986622,-5.86647617444733e-06,2.19364750417645e-06,0.00993892821948605,-0.0152495666273618,-0.0122389394290659,-0.000320686910083086,0.00148733405090659,0.000541995521577342,0.00385971073797277
73,optimista,0.00577618356338923,0.00217112512519799,0.00353494677701672,0.0147243082564849,0.0157694303412022,-0.000620180044492897,-0.000485756801816096,-0.0188523445421353,-0.0171548436489489,0.003536505965505,0.00353494677701672,-0.000984245411566643,-4.8763357492913e-06,2.90827370217411e-06,0.00994380455523535,-0.0152483398302291,-0.0122210862871449,-0.000316989974725894,0.00148700136884259,0.000545157577203591,0.00385790713664868
74,optimista,0.00577854332514786,0.00217584100183383,0.0035332825253596,0.0147352080358567,0.0157702259898164,-0.0006197183098,-0.000485852429917279,-0.0188524009826577,-0.0171508190456932,0.0035346758361172,0.0035332825253596,-0.000978507459104886,-3.98783528971896e-06,3.51127354594589e-06,0.00994779239052506,-0.0152479078252645,-0.0122043646918824,-0.00031338366550747,0.00148647332482395,0.000548188542218702,0.00385579689607093
75,optimista,0.00578082171307814,0.00218046788097213,0.00353150475625018,0.0147435208851955,0.0157742598041248,-0.000619290304235304,-0.00048594701923403,-0.0188517527644208,-0.0171471637389882,0.00353274476225395,0.00353150475625018,-0.000972990447801979,-3.19353311013335e-06,4.01457481313734e-06,0.0099509859236352,-0.0152481840743118,-0.0121888053680044,-0.000309888507566472,0.00148577486735477,0.000551077238005398,0.00385343066767741
76,optimista,0.00578301071715422,0.00218498005170341,0.00352964434023869,0.0147495141978641,0.0157810188342721,-0.000618895097696495,-0.000486039551397256,-0.0188504863886374,-0.0171438574383426,0.00353074296905273,0.00352964434023869,-0.000967701804554472,-2.48635116027585e-06,4.42903574347623e-06,0.00995347227479547,-0.0152490896577487,-0.0121744234413378,-0.000306522133439355,0.00148492967425268,0.000553814482078332,0.00385085536692632
77,optimista,0.0057851035302692,0.00218935566834116,0.00352772888380724,0.0147534360564069,0.0157900329322899,-0.00061853154779269,-0.000486129171536222,-0.0188486826177042,-0.0171408790780061,0.00352869744709553,0.00352772888380724,-0.000962646069515439,-1.85955538047218e-06,4.76452790024952e-06,0.00995533183017594,-0.0152505520735361,-0.0121612202031712,-0.000303299221561901,0.00148396002094817,0.00055639316906473,0.00384811409517141
