negyedev,szcenario,y,y_S,y_L,ii,i_S,i_L,c,nn,efp_S,efp_L,nw_S,nw_L,infl,r,rer,xx,sov,bank
26,optimista,0.00141746956527451,0.00176180174841566,0.00099661911921311,0.00735955632257546,0.00835561456321717,0.00636349808193374,-0.000331408693801268,0.000628724736139172,-0.000886719998748391,-0.000701049260907181,-0.0132694276058757,-0.0104167877101263,-0.000274878805792457,-0.000220698064028094,0.000902846856862747,0.000902846856862747,-0.00625,-0.00175
27,optimista,0.00144351801196253,0.00179615881861983,0.00101251258160361,0.00736347836147644,0.00835633739420558,0.0063706193287473,-0.000292960845675801,0.000617664572953716,-0.000856256845563072,-0.000689298169713626,-0.0139537706236794,-0.0111280424006644,-0.000278315748338503,-0.000223965225424963,0.000919438224179956,0.000919438224179956,-0.00625,-0.00175
28,optimista,0.00146857505260513,0.00182924455294767,0.00102775677440869,0.00737075719618424,0.00836336690065966,0.00637814749170881,-0.00025455746685545,0.000606304696344351,-0.00082940347972506,-0.000678585424111753,-0.0145575924977513,-0.0117830818139029,-0.000281414651087587,-0.000226882199351118,0.000935398122678426,0.000935398122678426,-0.00625,-0.00175
29,optimista,0.00149269376495057,0.00186117045786253,0.00104233336250261,0.00738079793694635,0.00837579326550304,0.00638580260838966,-0.000216216074393203,0.000594664551264009,-0.000805748039502875,-0.000668834394620146,-0.0150904061620458,-0.0123865416060841,-0.000284177335791116,-0.000229441616094465,0.000950760359841126,0.000950760359841126,-0.00625,-0.00175
30,optimista,0.00151591784027033,0.00189203196091288,0.00105622280392943,0.00739306317532843,0.00839280783986988,0.00639331851078697,-0.000177944338342337,0.00058275734081168,-0.000784926828640877,-0.000659974822211527,-0.0155606228739879,-0.0129426909743248,-0.000286605422730934,-0.000231636973688094,0.000965552764503395,0.000965552764503395,-0.00625,-0.00175
31,optimista,0.00153828261272264,0.00192191021205071,0.0010694044357661,0.00740706614581067,0.0084136911229022,0.00640044116871915,-0.000139741416385108,0.000570590746251805,-0.000766618736324589,-0.000651942328661698,-0.0159756805098227,-0.0134554621756453,-0.00028870050729621,-0.000233462665821273,0.000979797842498494,0.000979797842498494,-0.00625,-0.00175
32,optimista,0.00155981596442686,0.00195087372317943,0.00108185648150706,0.00742236464405421,0.00843780213285934,0.00640692715524908,-0.000101599036412676,0.000558167582616681,-0.000750540305235546,-0.000644677965776398,-0.0163421569635449,-0.013928477709486,-0.000290464338833131,-0.000234914035196286,0.00099351335313813,0.00099351335313813,-0.00625,-0.00175
33,optimista,0.0015805391197708,0.00197897983963753,0.00109355601771146,0.00743855561410317,0.00846456900609067,0.00641254222211567,-6.35023760897978e-05,0.000545486384278769,-0.000736441372718657,-0.000638127800535303,-0.0166658703793257,-0.0143650753488637,-0.000291899006907163,-0.000235987452234908,0.00100671281514064,0.00100671281514064,-0.00625,-0.00175
34,optimista,0.00160046734267549,0.0020062760505709,0.00110447892191442,0.00745527032737686,0.0084934806802607,0.00641705997449302,-2.54307766096606e-05,0.000532541923523788,-0.000724101218631843,-0.000632242533401423,-0.0169519677468918,-0.0147683311908613,-0.00029300713850552,-0.000236680419772695,0.00101940595074872,0.00101940595074872,-0.00625,-0.00175
35,optimista,0.00161961054937586,0.00203280115083101,0.00111459981426402,0.00747217008523646,0.00852407953519362,0.0064202606352793,1.2641680888742e-05,0.000519325668452003,-0.000713325161104431,-0.000626977147255804,-0.0172050032118676,-0.0151410808837713,-0.00029379210908423,-0.000236991704809028,0.00103159907603558,0.00103159907603558,-0.00625,-0.00175
36,optimista,0.0016379738478034,0.00205858626897401,0.00112389199970598,0.00748894238464316,0.00855595487946945,0.00642192988981686,5.07457142138509e-05,0.00050582618747377,-0.000703941548241319,-0.000622290584618467,-0.0174290072961529,-0.0154859391758848,-0.00029425827019016,-0.000236921498709186,0.00104329544446076,0.00104329544446076,-0.00625,-0.00175
37,optimista,0.00165555801326408,0.00208365577606163,0.00113232741428931,0.00750529749320335,0.00858873718384778,0.00642185780255892,8.89164770838734e-05,0.000492029507615189,-0.000695799099847386,-0.000618145451003226,-0.0176275480846721,-0.0158053179195575,-0.000294411196421418,-0.000236471607562172,0.00105449554984974,0.00105449554984974,-0.00625,-0.00175
38,optimista,0.00167235990890003,0.00210802808925682,0.00113987657735284,0.00752096538587067,0.00862209297398589,0.00641983779775546,0.000127193280505232,0.000477919433426136,-0.000688764558590432,-0.000614507742426456,-0.0178037853122065,-0.0161014426537178,-0.000294257954623888,-0.000235645674714403,0.00106519739420384,0.00106519739420384,-0.00625,-0.00175
39,optimista,0.00168837285841318,0.00213171638316095,0.00114650855038813,0.00753569300084644,0.0086557203049549,0.00641566569673797,0.000165619387639756,0.000463477832756757,-0.00068272061474775,-0.000611346595248869,-0.0179605181756536,-0.0163763678783464,-0.000293807398412269,-0.000234449437834874,0.00107539672510394,0.00107539672510394,-0.00625,-0.00175
40,optimista,0.00170358697769138,0.00215472922069886,0.00115219090290445,0.00754924177687042,0.00868934474890388,0.00640913880483694,0.000204241873333599,0.000448684895152946,-0.000677564072861838,-0.000608634056676456,-0.0181002276012875,-0.016631991125579,-0.000293070491333252,-0.00023289102322559,0.00108508724693718,0.00108508724693718,-0.00625,-0.00175
1,pesszimista,0.000121881151262358,0.000126418150515568,0.00011633592995288,0.00214498758318343,0.00263795452159016,0.00165202064477669,-0.000162563629342965,0.000184169379622032,-0.000215932259726819,-7.13177167326381e-05,0.00947845616246215,0.00679973796469305,-8.50326059146882e-05,-2.24627529928474e-05,7.76313065365337e-05,7.76313065365337e-05,-0.0001875,0
